service_id,date,exception_type
37127,20151229,1
37127,20151230,1
37127,20151231,1
38127,20151212,1
38127,20151226,1
38127,20151228,1
38127,20151229,1
38127,20151230,1
38127,20151231,1
39127-46127,20151213,1
39127-46127,20151220,1
40127,20151213,1
40127,20151220,1
41127,20151213,1
41127,20151220,1
42127,20151213,1
42127,20151220,1
42127-56127,20151213,1
42127-56127,20151220,1
42127-56127,20151225,1
42127-56127,20151227,1
42127-56127,20160101,1
42127-56127,20160103,1
44127-50127-53127,20151219,1
44127-50127-53127,20151221,1
44127-50127-53127,20151222,1
44127-50127-53127,20151223,1
44127-50127-53127,20151224,1
51127-54127,20151221,1
51127-54127,20151222,1
51127-54127,20151223,1
51127-54127,20151224,1
56127,20151225,1
56127,20151227,1
56127,20160101,1
56127,20160103,1
6127,20151112,1
6127,20151113,1
6127,20151116,1
6127,20151117,1
6127,20151118,1
6127,20151119,1
6127,20151120,1
6127,20151123,1
6127,20151124,1
6127,20151125,1
6127,20151126,1
6127,20151127,1
6127,20151130,1
6127,20151201,1
6127,20151202,1
6127,20151203,1
6127,20151204,1
7127,20151113,1
7127,20151120,1
7127,20151127,1
7127,20151204,1
7127,20151211,1
7127,20151218,1
8127,20151114,1
8127,20151121,1
8127,20151128,1
8127,20151205,1
8127,20151212,1
8127,20151219,1
8127,20151226,1
8127,20151228,1
8127,20151229,1
8127,20151230,1
8127,20151231,1
8127,20160102,1
9127,20151114,1
9127,20151121,1
9127,20151128,1
9127,20151205,1
9127,20151212,1
9127,20151219,1
9127,20151226,1
9127,20151228,1
9127,20151229,1
9127,20151230,1
9127,20151231,1
9127,20160102,1
