stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1438,"SAINT-MARTIN-LE-VINOUX, COLLEGE CHARTREUSE",45.21784,5.69096,,GENCOLCHART,0
1441,"LA TRONCHE, SABLONS",45.19751,5.75366,,GENSABLONS,1
1442,"LA TRONCHE, SABLONS",45.19678,5.75299,,GENSABLONS,1
1444,"GRENOBLE, DOCTEUR SCHWEITZER",45.17245,5.70632,,GENDRSCHWEI,1
1446,"GRENOBLE, FLAUBERT - CLOS D'OR",45.17049,5.72791,,GENFLAUCLOS,1
1447,"GRENOBLE, STALINGRAD-ALLIES",45.17188,5.72396,,GENSTALALLI,1
1448,"GRENOBLE, MARCHE D'INTERET NATIONAL",45.17354,5.71805,,GENMAINNATI,1
1449,"GRENOBLE, ALLIES",45.17479,5.714,,GENALLIES,1
1450,"GRENOBLE, LYS ROUGE",45.17304,5.71057,,GENLYSROUGE,1
1451,"GRENOBLE, RHIN ET DANUBE",45.17497,5.70522,,GENRHINDANU,1
1452,"GRENOBLE, VALLIER - CATANE",45.17968,5.70546,,GENVALLCATA,1
1453,"GRENOBLE, VALLIER - CATANE",45.17967,5.7053,,GENVALLCATA,1
1454,"GRENOBLE, RHIN ET DANUBE",45.17511,5.70511,,GENRHINDANU,1
1455,"GRENOBLE, ALLIES",45.17445,5.71408,,GENALLIES,1
1456,"GRENOBLE, MARCHE D'INTERET NATIONAL",45.17342,5.71808,,GENMAINNATI,1
1457,"GRENOBLE, STALINGRAD-ALLIES",45.17153,5.72483,,GENSTALALLI,1
1458,"GRENOBLE, FLAUBERT - CLOS D'OR",45.17063,5.72723,,GENFLAUCLOS,1
1467,"SAINT-MARTIN-LE-VINOUX, HOTEL DE VILLE",45.20826,5.70685,,GENMAIRIESM,1
1472,"LE GUA, LES SAILLANTS",45.02463,5.6458,,GENSAILLANT,0
1473,"LE GUA, LES SAILLANTS",45.02451,5.64571,,GENSAILLANT,0
1474,"VIF, LE PONT DE GENEVREY",45.02792,5.65124,,GENPONTGENE,0
1475,"VIF, LE PONT DE GENEVREY",45.02852,5.65171,,GENPONTGENE,0
1476,"VIF, L'USINE NORD",45.02988,5.65278,,GENUSINENOR,0
1477,"VIF, L'USINE NORD",45.03,5.65281,,GENUSINENOR,0
1478,"VIF, LE RIF",45.03258,5.65578,,GENLERIF,1
1479,"VIF, LE RIF",45.0323,5.65546,,GENLERIF,1
1480,"VIF, LA GRANGE",45.03916,5.66118,,GENGRANGE,0
1481,"VIF, LA GRANGE",45.03933,5.66127,,GENGRANGE,0
1482,"VIF, LE CHALET",45.04355,5.66449,,GENCHALET,0
1483,"VIF, LE CHALET",45.04333,5.6644,,GENCHALET,0
1484,"VIF, LA CIME DU BOURG",45.04825,5.66746,,GENCIMEBOUR,0
1485,"VIF, LA CIME DU BOURG",45.04812,5.66739,,GENCIMEBOUR,0
1486,"VIF, GENDARMERIE",45.05308,5.6766,,GENVIFGEND,1
1487,"VIF, GENDARMERIE",45.05301,5.67655,,GENVIFGEND,0
1488,"VIF, MAIRIE",45.05584,5.66897,,GENVIFMAIRI,1
1489,"VIF, MAIRIE",45.05601,5.6686,,GENVIFMAIRI,1
1490,"VIF, LES GARCINS",45.06461,5.67053,,GENGARCINS,0
1491,"VIF, LES GARCINS",45.06315,5.66934,,GENGARCINS,0
1492,"VARCES-ALLIERES-ET-RISSET, PELISSIERE",45.07039,5.67505,,GENPELISIER,0
1493,"VARCES-ALLIERES-ET-RISSET, PELISSIERE",45.07057,5.67506,,GENPELISIER,0
